feed_type,breast_used,breast_left_time,breast_right_time,bottle_ml,start_time_label,end_time_label
Bottle Breast Milk,,0,0,96.114,2018/06/23 22:00:47,
Bottle Breast Milk,,0,0,29.5735,2018/06/23 18:16:37,
,,0,0,0,2018/06/23 21:15:30,
Bottle Breast Milk,,0,0,44.3603,2018/06/23 19:32:13,
,,0,0,0,2018/06/23 18:30:37,
Bottle Breast Milk,,0,0,29.5735,2018/06/23 17:51:26,
Bottle Breast Milk,,0,0,29.5735,2018/06/23 17:01:07,
,,0,0,0,2018/06/23 16:30:12,
Bottle Breast Milk,,0,0,29.5735,2018/06/23 15:40:50,
Bottle Breast Milk,,0,0,66.5405,2018/06/23 14:00:04,
Bottle Breast Milk,,0,0,29.5735,2018/06/23 12:45:41,
Bottle Breast Milk,,0,0,29.5735,2018/06/23 11:43:53,
Bottle Breast Milk,,0,0,66.5405,2018/06/23 11:00:21,
Bottle Breast Milk,,0,0,29.5735,2018/06/23 08:59:58,
Bottle Breast Milk,,0,0,59.1471,2018/06/23 07:59:49,
Bottle Breast Milk,,0,0,51.7537,2018/06/23 04:33:02,
Bottle Breast Milk,,0,0,44.3603,2018/06/23 23:45:11,
Bottle Breast Milk,,0,0,29.5735,2018/06/22 23:15:54,
Bottle Breast Milk,,0,0,29.5735,2018/06/22 22:10:59,
Bottle Breast Milk,,0,0,44.3603,2018/06/22 21:38:13,
Bottle Breast Milk,,0,0,29.5735,2018/06/22 19:36:13,
Bottle Breast Milk,,0,0,29.5735,2018/06/22 16:30:56,
Bottle Breast Milk,,0,0,59.1471,2018/06/22 18:30:50,
Bottle Breast Milk,,0,0,51.7537,2018/06/22 17:00:15,
Bottle Breast Milk,,0,0,44.3603,2018/06/22 15:00:25,
Bottle Breast Milk,,0,0,59.1471,2018/06/22 13:02:38,
Bottle Breast Milk,,0,0,81.3273,2018/06/22 09:45:36,
Bottle Breast Milk,,0,0,80,2018/06/22 05:36:39,
Bottle Breast Milk,,0,0,60,2018/06/22 03:30:25,
Bottle Breast Milk,,0,0,29.5735,2018/06/21 22:41:27,
Bottle Breast Milk,,0,0,29.5735,2018/06/21 23:08:09,
Bottle Breast Milk,,0,0,88.7206,2018/06/21 19:20:30,
Bottle Breast Milk,,0,0,75,2018/06/21 16:00:10,
Bottle Breast Milk,,0,0,80,2018/06/21 13:45:01,
Bottle Breast Milk,,0,0,60,2018/06/21 12:00:50,
Bottle Breast Milk,,0,0,30,2018/06/21 09:00:40,
Bottle Breast Milk,,0,0,66.5405,2018/06/21 07:16:05,
Bottle Breast Milk,,0,0,60,2018/06/21 05:00:30,
